latitude,longitude,number,time,step,isobaricInhPa,valid_time,t,u,v,vo,w_mps
60.0,-47.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,216.16707,28.233383,19.230957,-2.398016e-05,-0.003697815429370978
60.0,-47.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,216.04988,28.477524,18.844238,-2.733292e-05,-0.0040817963758084125
60.0,-46.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.94392,28.665024,18.441895,-2.976181e-05,-0.004156953579802091
60.0,-46.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.84236,28.790024,18.031738,-3.1073112e-05,-0.003885068263413288
60.0,-46.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.73885,28.85643,17.617676,-3.1609554e-05,-0.0027654586365376183
60.0,-46.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.62996,28.879868,17.20752,-3.1847972e-05,-0.0006452690527661852
60.0,-45.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.51619,28.88768,16.805176,-3.2041688e-05,0.001626760129628142
60.0,-45.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.40535,28.88768,16.406738,-3.1907577e-05,0.0032422261355938065
60.0,-45.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.30525,28.875961,16.016113,-3.1341333e-05,0.004240823011589943
60.0,-45.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.21687,28.846664,15.629395,-3.077509e-05,0.005661721895286777
60.0,-44.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.12996,28.813461,15.234863,-3.0879397e-05,0.007927052969826386
60.0,-44.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,215.03426,28.797836,14.83252,-3.1639356e-05,0.009805964792567866
60.0,-44.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.93172,28.803696,14.430176,-3.1758565e-05,0.009801288857979106
60.0,-44.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.83943,28.797836,14.047363,-2.9538292e-05,0.00806987703596854
60.0,-43.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.77205,28.754868,13.703613,-2.4442095e-05,0.006724386910579756
60.0,-43.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.72566,28.682602,13.387207,-1.7870683e-05,0.007912155880880657
60.0,-43.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.68074,28.625961,13.070801,-1.2327451e-05,0.011324001534792672
60.0,-43.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.61629,28.629868,12.715332,-9.704847e-06,0.014503022626451947
60.0,-42.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.53328,28.688461,12.297363,-1.0300893e-05,0.015302292584022397
60.0,-42.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.4532,28.749008,11.797363,-1.3251323e-05,0.013840676215861792
60.0,-42.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.39705,28.749008,11.219238,-1.7527957e-05,0.011730373209934216
60.0,-42.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.36824,28.649399,10.578613,-2.2400636e-05,0.010503257387578478
60.0,-41.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.34627,28.442368,9.89502,-2.7139205e-05,0.010731945696306085
60.0,-41.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.30183,28.14354,9.191895,-3.1102914e-05,0.012261171051460244
60.0,-41.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.2115,27.790024,8.484863,-3.411295e-05,0.014858370264082937
60.0,-41.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,214.06648,27.428696,7.8012695,-3.667595e-05,0.017946091283089955
60.0,-40.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.87117,27.116196,7.148926,-3.9492268e-05,0.020375112430452723
60.0,-40.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,213.64217,26.88768,6.5200195,-4.274072e-05,0.02111666392348396
